_id,priority,details,status,deadline,completed,project_id
100,1,Deliverable: Literature Review Document,done,06.06.2011,06.06.2011,400
200,1,Deliverable: Software Infrastructure (MATLAB),done,06.06.2011,06.06.2011,400
300,1,Deliverable: Microarray Data Sets,done,06.06.2011,13.06.2011,400
410,1,Initial Analysis,done,13.06.2011,13.06.2011,400
419,1,Clustering Method Implementation,new,20.06.2011,20.06.2011,400
420,3,Machine Learning Methods Design & Implementation,canceled,27.06.2011,,400
429,1,Simulation,done,04.07.2011,11.07.2011,400
430,1,Results Analysis,done,11.07.2011,25.07.2011,400
440,2,New Method Design & Implementation,new,11.07.2011,11.07.2011,400
450,1,Concluding,done,16.07.2011,25.07.2011,400
460,1,Publication Writing,done,25.07.2011,01.08.2011,400
461,1,Deliverable: Publication Document,done,25.07.2011,01.08.2011,400
500,1,Interim Report Writing,done,16.07.2011,16.07.2011,400
510,1,Progress Assessment and Rescheduling,new,16.07.2011,16.07.2011,400
520,1,Deliverable: Interim Report,done,16.07.2011,16.07.2011,400
610,1,Initial Analysis,done,25.07.2011,25.07.2011,600
619,1,Data Analysis for Potential Work Paths,new,08.08.2011,08.08.2011,600
620,3,Machine Learning Methods Design & Implementation,canceled,08.08.2011,,600
629,1,Simulation,done,15.08.2011,15.08.2011,600
630,1,Results Analysis,done,22.08.2011,29.08.2011,600
640,1,Concluding,pending,29.08.2011,,600
650,1,Publication Writing,pending,12.09.2011,,600
651,1,Deliverable: Publication Document,pending,12.09.2011,,600
700,1,Final Report (Thesis) Writing,pending,12.09.2011,,600
710,1,Deliverable: Final Report (Thesis),pending,12.09.2011,,600
800,1,Presentation Preparation,pending,16.09.2011,,600
810,1,Presentation Slides,pending,16.09.2011,,600
